player_ESPN,bet_type,odds,line,over_under,home,away,bet_id,closed_date
J.Brown,PTS,1.94,25.5,Under,tor,bos,3197617854,2022-12-06T00:30:00Z
JaysonTatum,ARP,1.83,41.5,Over,tor,bos,3197617886,2022-12-06T00:30:00Z
JaysonTatum,ARP,1.95,41.5,Under,tor,bos,3197617888,2022-12-06T00:30:00Z
MarcusSmart,REB,2.06,3.5,Over,tor,bos,3197617887,2022-12-06T00:30:00Z
MarcusSmart,REB,1.74,3.5,Under,tor,bos,3197617890,2022-12-06T00:30:00Z
JaysonTatum,REB,1.84,8.5,Over,tor,bos,3197617891,2022-12-06T00:30:00Z
JaysonTatum,REB,1.94,8.5,Under,tor,bos,3197617893,2022-12-06T00:30:00Z
MarcusSmart,AST,2.1,7.5,Over,tor,bos,3197617896,2022-12-06T00:30:00Z
MarcusSmart,AST,1.71,7.5,Under,tor,bos,3197617897,2022-12-06T00:30:00Z
J.Brown,ARP,1.86,36.5,Over,tor,bos,3197617902,2022-12-06T00:30:00Z
J.Brown,ARP,1.92,36.5,Under,tor,bos,3197617903,2022-12-06T00:30:00Z
MarcusSmart,ARP,1.92,22.5,Over,tor,bos,3197617904,2022-12-06T00:30:00Z
MarcusSmart,ARP,1.86,22.5,Under,tor,bos,3197617905,2022-12-06T00:30:00Z
O.G.Anunoby,3PM,1.87,1.5,Over,tor,bos,3197695830,2022-12-06T00:30:00Z
O.G.Anunoby,3PM,1.91,1.5,Under,tor,bos,3197695832,2022-12-06T00:30:00Z
FredVanVleet,REB,2.16,3.5,Over,tor,bos,3197695847,2022-12-06T00:30:00Z
FredVanVleet,REB,1.68,3.5,Under,tor,bos,3197695849,2022-12-06T00:30:00Z
O.G.Anunoby,REB,1.86,5.5,Over,tor,bos,3197695848,2022-12-06T00:30:00Z
O.G.Anunoby,REB,1.92,5.5,Under,tor,bos,3197695850,2022-12-06T00:30:00Z
O.G.Anunoby,PTS,1.92,18.5,Over,tor,bos,3197695851,2022-12-06T00:30:00Z
O.G.Anunoby,PTS,1.86,18.5,Under,tor,bos,3197695852,2022-12-06T00:30:00Z
DillonBrooks,AST,1.9,3.5,Over,mem,mia,3197521729,2022-12-06T01:00:00Z
DillonBrooks,AST,1.88,3.5,Under,mem,mia,3197521732,2022-12-06T01:00:00Z
DillonBrooks,3PM,1.58,2.5,Over,mem,mia,3197521733,2022-12-06T01:00:00Z
DillonBrooks,3PM,2.35,2.5,Under,mem,mia,3197521738,2022-12-06T01:00:00Z
StevenAdams,AST,1.79,2.5,Over,mem,mia,3197648674,2022-12-06T01:00:00Z
StevenAdams,AST,2.0,2.5,Under,mem,mia,3197648677,2022-12-06T01:00:00Z
StevenAdams,PTS,1.83,8.5,Over,mem,mia,3197681492,2022-12-06T01:00:00Z
StevenAdams,PTS,1.96,8.5,Under,mem,mia,3197681494,2022-12-06T01:00:00Z
TyusJones,PTS,1.88,15.5,Over,mem,mia,3197681519,2022-12-06T01:00:00Z
TyusJones,PTS,1.9,15.5,Under,mem,mia,3197681524,2022-12-06T01:00:00Z
TyusJones,3PM,1.52,1.5,Over,mem,mia,3197681522,2022-12-06T01:00:00Z
StevenAdams,REB,2.02,11.5,Over,mem,mia,3197681535,2022-12-06T01:00:00Z
StevenAdams,REB,1.78,11.5,Under,mem,mia,3197681537,2022-12-06T01:00:00Z
TyusJones,REB,2.1,3.5,Over,mem,mia,3197681536,2022-12-06T01:00:00Z
TyusJones,REB,1.72,3.5,Under,mem,mia,3197681540,2022-12-06T01:00:00Z
StevenAdams,ARP,1.98,23.5,Over,mem,mia,3197681550,2022-12-06T01:00:00Z
StevenAdams,ARP,1.81,23.5,Under,mem,mia,3197681553,2022-12-06T01:00:00Z
TyusJones,ARP,1.86,25.5,Over,mem,mia,3197681552,2022-12-06T01:00:00Z
TyusJones,ARP,1.92,25.5,Under,mem,mia,3197681554,2022-12-06T01:00:00Z
DillonBrooks,PTS,1.92,24.5,Over,mem,mia,3197681570,2022-12-06T01:00:00Z
DillonBrooks,PTS,1.86,24.5,Under,mem,mia,3197681571,2022-12-06T01:00:00Z
DillonBrooks,ARP,1.92,32.5,Over,mem,mia,3197681572,2022-12-06T01:00:00Z
DillonBrooks,ARP,1.86,32.5,Under,mem,mia,3197681573,2022-12-06T01:00:00Z
KyleLowry,ARP,1.81,24.5,Over,mem,mia,3197682792,2022-12-06T01:00:00Z
KyleLowry,ARP,1.98,24.5,Under,mem,mia,3197682795,2022-12-06T01:00:00Z
TylerHerro,REB,1.77,5.5,Over,mem,mia,3197682799,2022-12-06T01:00:00Z
TylerHerro,REB,2.02,5.5,Under,mem,mia,3197682805,2022-12-06T01:00:00Z
CalebMartin,REB,2.07,4.5,Over,mem,mia,3197682800,2022-12-06T01:00:00Z
CalebMartin,REB,1.74,4.5,Under,mem,mia,3197682807,2022-12-06T01:00:00Z
KyleLowry,AST,2.18,6.5,Over,mem,mia,3197682811,2022-12-06T01:00:00Z
KyleLowry,AST,1.66,6.5,Under,mem,mia,3197682819,2022-12-06T01:00:00Z
TylerHerro,3PM,2.07,2.5,Over,mem,mia,3197682820,2022-12-06T01:00:00Z
TylerHerro,3PM,1.74,2.5,Under,mem,mia,3197682827,2022-12-06T01:00:00Z
CalebMartin,3PM,2.45,1.5,Over,mem,mia,3197682822,2022-12-06T01:00:00Z
CalebMartin,3PM,1.54,1.5,Under,mem,mia,3197682829,2022-12-06T01:00:00Z
KyleLowry,3PM,2.28,2.5,Over,mem,mia,3197682828,2022-12-06T01:00:00Z
