player_ESPN,bet_type,odds,line,over_under,home,away,bet_id,closed_date,diff,actual,is_hit
AlHorford,ARP,1.96,19.5,Under,bos,det,3186679867,2022-11-10T00:17:35Z,1.5,21.0,False
MarcusSmart,ARP,1.9,22.5,Over,bos,det,3186679861,2022-11-10T00:17:35Z,6.5,16.0,False
MarcusSmart,ARP,1.88,22.5,Under,bos,det,3186679869,2022-11-10T00:17:35Z,6.5,16.0,True
CadeCunningham,REB,1.84,5.5,Over,bos,det,3186679863,2022-11-10T00:17:35Z,2.5,3.0,False
CadeCunningham,REB,1.94,5.5,Under,bos,det,3186679872,2022-11-10T00:17:35Z,2.5,3.0,True
J.Brown,AST,2.2,3.5,Over,bos,det,3186679868,2022-11-10T00:17:35Z,0.5,3.0,False
J.Brown,AST,1.66,3.5,Under,bos,det,3186679874,2022-11-10T00:17:35Z,0.5,3.0,True
JaysonTatum,AST,1.87,4.5,Over,bos,det,3186679876,2022-11-10T00:17:35Z,0.5,5.0,True
JaysonTatum,AST,1.91,4.5,Under,bos,det,3186679882,2022-11-10T00:17:35Z,0.5,5.0,False
AlHorford,AST,2.16,2.5,Over,bos,det,3186679879,2022-11-10T00:17:35Z,0.5,2.0,False
AlHorford,AST,1.68,2.5,Under,bos,det,3186679884,2022-11-10T00:17:35Z,0.5,2.0,True
JaysonTatum,REB,1.96,7.5,Over,bos,det,3186679887,2022-11-10T00:17:35Z,6.5,1.0,False
JaysonTatum,REB,1.83,7.5,Under,bos,det,3186679889,2022-11-10T00:17:35Z,6.5,1.0,True
AlHorford,PTS,1.87,9.5,Over,bos,det,3186679894,2022-11-10T00:17:35Z,3.5,13.0,True
AlHorford,PTS,1.91,9.5,Under,bos,det,3186679897,2022-11-10T00:17:35Z,3.5,13.0,False
CadeCunningham,3PM,1.9,1.5,Over,bos,det,3186679896,2022-11-10T00:17:35Z,1.5,0.0,False
CadeCunningham,3PM,1.88,1.5,Under,bos,det,3186679899,2022-11-10T00:17:35Z,1.5,0.0,True
JadenIvey,AST,2.15,3.5,Over,bos,det,3186679898,2022-11-10T00:17:35Z,2.5,6.0,True
JadenIvey,AST,1.68,3.5,Under,bos,det,3186679903,2022-11-10T00:17:35Z,2.5,6.0,False
AlHorford,3PM,1.88,1.5,Over,bos,det,3186679900,2022-11-10T00:17:35Z,0.5,1.0,False
AlHorford,3PM,1.9,1.5,Under,bos,det,3186679904,2022-11-10T00:17:35Z,0.5,1.0,True
